Position,KioskMin,KioskMax,MonitorMin,MonitorMax,Image
Standing,0.6005917 * (height / 2.54) + 0.02662722,0.6656805 * (height / 2.54) - 1.044379,0.9674556 * (height / 2.54) - 2.464497,0.9349112 * (height / 2.54) + 1.071006,Standing.png
Wheelchair,0.4739837 * (height / 2.54) - 6.677846,0.5528455 * (height / 2.54) - 9.427033,0.7248521 * (height / 2.54) - 1.95858,0.7376726 * (height / 2.54) - 1.21499,Wheelchair.png
